id,ncbi_taxon_id,gbif_taxon_id,ncbi_canonical_name,gbif_canonical_name,gbif_synonyms_ids,gbif_synonyms_names,ncbi_synonyms_names
433,2585721,11193140,Liusius longimaculata,Liusius longimaculata,5968781,Leucosia longimaculata,
434,,5968779,,Leucosia affinis,,,
435,,5968780,,Leucosia compressa,,,
436,,8645545,,Leucosia martini,,,
437,,5799035,,Leucosia moresbiensis,,,
438,,8506130,,Leucosia serenei,,,
439,,5799016,,Leucosia leslii,,,
440,,5731467,,Leucosia margaritacea,,,
441,,5968787,,Leucosia sima,,,
442,,5968776,,Leucosia corallicola,,,
443,,5731460,,Leucosia tetraodon,,,
444,,5968777,,Leucosia punctata,,,
445,,7910638,,Leucosia phyllocheira,5968773,Leucosia phyllocheira,
446,,5968788,,Leucosia longibrachia,,,
447,,8564215,,Leucosia longiangulata,,,
448,,5968775,,Leucosia brevimana,,,
449,,5799023,,Leucosia ocellata,,,
450,,8553837,,Leucosia calcarata,,,
451,,8470122,,Leucosia tutongensis,,,
452,,8516160,,Leucosia takamii,,,
453,,5968782,,Leucosia formosensis,,,
454,,5968778,,Leucosia whitmeei,,,
455,,5799030,,Leucosia haswelli,,,
456,,12216019,,Leucosia shihcheni,,,
457,,5799018,,Leucosia reticulata,,,
458,,5968789,,Leucosia brevior,11018905,Leucosia punctata brevior,
459,,5731464,,Leucosia jecusculum,5968790,Leucosides jecusculum,
460,2800677,4382713,Myra affinis,Myra affinis,7637539,Myra affinis,
461,483418,4382701,Myra subgranulata,Myra subgranulata,6283160; 4382702; 6283159,Myra coalita; Myra cyrenae; Myra dubia,
462,1565488,2221771,Myra fugax,Myra fugax,12021679; 6283158; 7360124; 8178121; 4644201; 5731471; 11360615; 4644310; 4382712,Ilia punctata; Myra longimerus; Leucosia fugax; Myra carinata; Cancer punctatus; Leucosia fugax; Myra fagax; Myra carinata; Myra pentacantha,
463,3030767,4382715,Myra celeris,Myra celeris,,,
464,3027153,,Unclassified myra,,,,
465,,4382711,,Myra curtimana,,,
466,,4382705,,Myra tumidospina,,,
467,,5968932,,Myra intermedia,,,
468,,8682036,,Myra wenjii,,,
469,,5968931,,Myra biconica,,,
470,,8682676,,Myra emarginata,,,
471,,4382706,,Myra brevimana,,,
472,,8473608,,Myra trispinosa,,,
473,,4382700,,Myra australis,,,
474,,4382708,,Myra digitata,,,
475,,8519907,,Myra brevisulcata,,,
476,,8598520,,Myra amoena,,,
477,,4382710,,Myra mammillaris,,,
